Date,Close
2021-12-14,897.4
2021-12-15,961.0
2021-12-16,982.8
2021-12-17,962.0
2021-12-20,912.0
2021-12-21,924.6
2021-12-22,912.2
2021-12-23,880.2
2021-12-24,877.0
2021-12-27,884.8
2021-12-28,876.6
2021-12-29,865.4
2021-12-30,872.4
2022-01-03,885.8
2022-01-04,874.0
2022-01-05,816.2
2022-01-06,793.0
2022-01-07,
2022-01-10,766.8
2022-01-11,770.8
2022-01-12,770.4
2022-01-13,754.6
2022-01-14,686.4
2022-01-17,710.6
2022-01-18,662.8
2022-01-19,675.6
2022-01-20,683.0
2022-01-21,645.8
2022-01-24,596.2
2022-01-25,594.2
2022-01-26,583.0
2022-01-27,591.2
2022-01-28,597.0
2022-01-31,630.0
2022-02-01,655.6
2022-02-02,633.0
2022-02-03,602.0
2022-02-04,580.8
2022-02-07,581.8
2022-02-08,609.8
2022-02-09,635.0
2022-02-10,607.4
2022-02-11,584.8
2022-02-14,596.0
2022-02-15,617.4
2022-02-16,614.6
2022-02-17,588.0
2022-02-18,559.2
2022-02-21,420.0
2022-02-22,479.8
2022-02-23,
2022-02-24,309.0
2022-02-25,296.0
2022-02-28,
2022-03-01,
2022-03-02,
2022-03-03,
2022-03-04,
2022-03-09,
2022-03-10,
2022-03-11,
2022-03-14,
2022-03-15,
2022-03-16,
2022-03-17,
2022-03-18,
2022-03-21,
2022-03-22,
2022-03-23,
2022-03-24,
2022-03-25,
2022-03-28,
2022-03-29,510.0
2022-03-30,559.4
2022-03-31,567.0
2022-04-01,556.2
2022-04-04,536.0
2022-04-05,502.2
2022-04-06,502.0
2022-04-07,492.0
2022-04-08,497.8
2022-04-11,488.0
2022-04-12,468.8
2022-04-13,466.8
2022-04-14,430.2
2022-04-15,422.6
2022-04-18,426.0
2022-04-19,422.0
2022-04-20,437.8
2022-04-21,425.4
2022-04-22,416.8
2022-04-25,370.6
2022-04-26,378.2
2022-04-27,432.0
2022-04-28,404.0
2022-04-29,399.0
2022-05-04,386.8
2022-05-05,386.0
2022-05-06,374.6
2022-05-11,370.0
2022-05-12,338.4
2022-05-13,339.0
2022-05-16,349.0
2022-05-17,357.2
2022-05-18,375.2
2022-05-19,361.6
2022-05-20,350.2
2022-05-23,345.0
2022-05-24,335.6
2022-05-25,344.8
2022-05-26,351.4
2022-05-27,347.0
2022-05-30,340.2
2022-05-31,336.0
2022-06-01,333.4
2022-06-02,328.8
2022-06-03,307.8
2022-06-06,288.0
2022-06-07,280.2
2022-06-08,290.0
2022-06-09,279.0
2022-06-10,280.0
2022-06-14,269.0
2022-06-15,300.8
2022-06-16,313.6
2022-06-17,308.0
2022-06-20,310.0
2022-06-21,300.0
2022-06-22,292.8
2022-06-23,310.6
2022-06-24,302.8
2022-06-27,316.2
2022-06-28,338.4
2022-06-29,324.0
2022-06-30,302.4
2022-07-01,303.0
2022-07-04,315.6
2022-07-05,314.8
2022-07-06,321.0
2022-07-07,332.8
2022-07-08,328.8
2022-07-11,323.0
2022-07-12,319.8
2022-07-13,307.8
2022-07-14,300.8
2022-07-15,307.6
2022-07-18,322.2
2022-07-19,319.6
2022-07-20,315.8
2022-07-21,311.4
2022-07-22,318.2
2022-07-25,360.2
2022-07-26,410.0
2022-07-27,400.0
2022-07-28,414.4
2022-07-29,409.0
2022-08-01,391.0
2022-08-02,365.6
2022-08-03,402.4
2022-08-04,413.8
2022-08-05,387.6
2022-08-08,411.8
2022-08-09,444.0
2022-08-10,461.0
2022-08-11,407.0
2022-08-12,418.0
2022-08-15,411.0
2022-08-16,413.8
2022-08-17,419.6
2022-08-18,416.2
2022-08-19,414.4
2022-08-22,421.8
2022-08-23,447.8
2022-08-24,429.0
2022-08-25,433.2
2022-08-26,436.8
2022-08-29,433.0
2022-08-30,429.2
2022-08-31,428.0
2022-09-01,422.0
2022-09-02,419.6
2022-09-05,431.6
2022-09-06,418.0
2022-09-07,422.0
2022-09-08,423.0
2022-09-09,437.0
2022-09-12,468.0
2022-09-13,461.8
2022-09-14,464.8
2022-09-15,484.6
2022-09-16,510.0
2022-09-19,550.2
2022-09-20,493.0
2022-09-21,447.6
2022-09-22,469.6
2022-09-23,419.8
2022-09-26,330.2
2022-09-27,375.4
2022-09-28,362.0
2022-09-29,356.0
2022-09-30,363.2
2022-10-03,392.2
2022-10-04,390.4
2022-10-05,390.0
2022-10-06,386.4
2022-10-07,360.8
2022-10-10,382.4
2022-10-11,403.4
2022-10-12,427.6
2022-10-13,440.0
2022-10-14,439.0
2022-10-17,455.2
2022-10-18,429.2
2022-10-19,436.0
2022-10-20,435.0
2022-10-21,440.6
2022-10-24,437.6
2022-10-25,448.2
2022-10-26,450.2
2022-10-27,446.2
2022-10-28,446.4
2022-10-31,453.0
2022-11-01,468.8
2022-11-02,449.6
2022-11-03,455.4
2022-11-07,469.8
2022-11-08,476.2
2022-11-09,464.0
2022-11-10,502.4
2022-11-11,499.8
2022-11-14,521.0
2022-11-15,497.8
2022-11-16,508.0
2022-11-17,505.2
2022-11-18,502.4
2022-11-21,489.8
2022-11-22,501.2
2022-11-23,505.6
2022-11-24,506.8
2022-11-25,498.8
2022-11-28,495.8
2022-11-29,499.4
2022-11-30,506.4
2022-12-01,501.8
2022-12-02,496.6
2022-12-05,498.2
2022-12-06,487.8
2022-12-07,484.6
2022-12-08,474.4
2022-12-09,471.2
2022-12-12,468.2
2022-12-13,463.6
2022-12-14,443.0
2022-12-15,441.2
2022-12-16,442.6
2022-12-19,433.4
2022-12-20,449.4
2022-12-21,440.0
2022-12-22,460.8
2022-12-23,451.0
2022-12-26,452.6
2022-12-27,453.2
2022-12-28,440.6
2022-12-29,441.6
2022-12-30,437.0
2023-01-03,446.8
2023-01-04,451.2
2023-01-05,450.6
2023-01-06,446.6
2023-01-09,451.0
2023-01-10,449.8
2023-01-11,462.8
2023-01-12,469.4
2023-01-13,473.4
2023-01-16,489.8
2023-01-17,474.2
2023-01-18,476.8
2023-01-19,467.6
2023-01-20,468.2
2023-01-23,482.0
2023-01-24,474.4
2023-01-25,478.4
2023-01-26,476.2
2023-01-27,475.0
2023-01-30,482.2
2023-01-31,488.2
2023-02-01,488.8
2023-02-02,492.0
2023-02-03,485.2
2023-02-06,493.4
2023-02-07,490.8
2023-02-08,487.6
2023-02-09,482.0
2023-02-10,481.0
2023-02-13,482.4
2023-02-14,485.6
2023-02-15,460.0
2023-02-16,456.4
2023-02-17,456.4
2023-02-20,456.4
