"","GAZP","SBER","GMKN","MGNT"
"2015-01-05",133.95,56.37,8590,9877
"2015-01-06",138.92,58.28,9101,10400
"2015-01-08",146.46,65.7,9550,10627
"2015-01-09",141.7,63.1,9740,10542
"2015-01-12",140.22,62.9,9839,10689
"2015-01-13",142.64,60.31,10025,11180
"2015-01-14",146.3,60.05,9600,11450
"2015-01-15",147,61.8,9290,11304
"2015-01-16",149.6,61.99,9561,11350
"2015-01-19",148.11,61.8,9417,11235
"2015-01-20",145.75,60.8,9470,11395
"2015-01-21",148.8,62.8,9675,11855
"2015-01-22",151.5,64.35,10386,12070
"2015-01-23",152.83,64.45,10400,11750
"2015-01-26",148,60.49,10755,11540
"2015-01-27",150.9,61.2,11179,11270
"2015-01-28",147.7,60.63,11534,10200
"2015-01-29",145,60.5,11450,10550
"2015-01-30",143.82,61.5,11610,10590
"2015-02-02",138.18,61.4,11280,10190
"2015-02-03",140.35,62,10990,10400
"2015-02-04",142.6,61.04,10750,10340
"2015-02-05",147.6,62.41,11100,10235
"2015-02-06",151.6,64.31,11394,11075
"2015-02-09",149.3,65.57,11352,11440
"2015-02-10",149.31,65,11345,11490
"2015-02-11",150.55,65.12,11697,11500
"2015-02-12",157.7,67.21,12037,11855
"2015-02-13",162.4,70.6,12106,12250
"2015-02-16",160.19,70,11900,11920
"2015-02-17",159.2,72.45,11375,11820
"2015-02-18",163,76.4,11140,11766
"2015-02-19",160.9,73.78,11355,11800
"2015-02-20",158,74.75,11330,11796
"2015-02-24",154.99,73.7,11348,11687
"2015-02-25",150.7,74.2,11061,11510
"2015-02-26",151.65,75.95,11093,11574
"2015-02-27",152.95,75.91,11182,11305
"2015-03-02",155.5,76.2,11269,11367
"2015-03-03",159,75.55,11480,11650
"2015-03-04",154,72.31,11140,11100
"2015-03-05",154.8,72.7,11180,11360
"2015-03-06",152.12,73.25,10990,11347
"2015-03-10",148.05,69.8,10425,10820
"2015-03-11",145.99,70.68,10588,10835
"2015-03-12",144.7,70.79,10730,10600
"2015-03-13",141.8,67.87,10380,10350
"2015-03-16",139.75,65.57,10298,10350
"2015-03-17",139.7,64.65,10595,10360
"2015-03-18",140.25,65.26,10692,10699
"2015-03-19",136.81,64.9,10410,10500
"2015-03-20",136,67,10501,10900
"2015-03-23",134.61,65,10420,10550
"2015-03-24",137.15,65.6,10330,10798
"2015-03-25",134.9,64.8,10500,11000
"2015-03-26",132.2,62.85,10310,11140
"2015-03-27",134.88,61,9905,11038
"2015-03-30",137,63.01,10530,11185
"2015-03-31",138.9,62.88,10399,11350
"2015-04-01",143,64.5,10539,11750
"2015-04-02",143.9,65.92,10090,11971
"2015-04-03",143.94,65.5,10237,11799
"2015-04-06",145.7,68.99,10200,11900
"2015-04-07",146.2,69.6,10125,12020
"2015-04-08",147.27,69.4,9986,11890
"2015-04-09",148.1,72,9740,11744
"2015-04-10",148,71.5,9936,11711
"2015-04-13",148.8,74.1,9839,12300
"2015-04-14",144.4,74.05,9520,11801
"2015-04-15",150.1,76.49,9632,11870
"2015-04-16",152.4,76.5,9480,11600
"2015-04-17",149.3,72.5,9460,11520
"2015-04-20",153.96,73.5,9590,11664
"2015-04-21",155.35,75.24,9700,12207
"2015-04-22",150.8,73.9,9600,12135
"2015-04-23",150.15,75.8,9530,11900
"2015-04-24",153.89,75.75,9719,11824
"2015-04-27",152.05,75.2,9665,11577
"2015-04-28",152.79,75.7,9673,11350
"2015-04-29",152.5,75.2,9552,11458
"2015-04-30",153.5,76.9,9640,11280
"2015-05-05",156.33,80.21,10170,11038
"2015-05-06",155.25,79.2,10500,11083
"2015-05-07",152.1,76.5,10201,11090
"2015-05-08",155.52,75.5,10540,11295
"2015-05-12",154.2,75.19,10680,11220
"2015-05-13",151.74,75.24,10435,11100
"2015-05-14",151.8,74.31,10245,11240
"2015-05-15",152.98,75.05,10288,11372
"2015-05-18",151.9,75.36,10248,11042
"2015-05-19",149.85,73.35,10039,10986
"2015-05-20",146.35,71.6,10180,10940
"2015-05-21",147.16,73.25,10210,11035
"2015-05-22",148.8,74.35,9534,11020
"2015-05-25",146.69,74.46,9515,10910
"2015-05-26",145.25,74.67,9250,10813
"2015-05-27",147.66,74.23,9380,10653
"2015-05-28",146.11,73.6,9397,10655
"2015-05-29",139,73.5,9005,10510
"2015-06-01",139.4,72.65,9303,10456
"2015-06-02",140.75,73.92,9619,10892
"2015-06-03",140.71,71.72,9704,10765
"2015-06-04",140.2,71.25,9742,10750
"2015-06-05",142.4,70.61,9986,10685
"2015-06-08",142.66,69.17,9954,10654
"2015-06-09",146.17,70.21,9701,11005
"2015-06-10",145.6,71.51,9595,10895
"2015-06-11",145.4,72.55,9655,11130
"2015-06-15",144.95,71.8,9758,11236
"2015-06-16",146,73.5,9695,11556
"2015-06-17",147.6,72.81,9680,11520
"2015-06-18",147.15,72.98,9579,11440
"2015-06-19",147.15,71.56,9685,11385
"2015-06-22",148.5,72,9670,11287
"2015-06-23",146.25,72.01,9503,11266
"2015-06-24",146.68,71.98,9450,11261
"2015-06-25",143.7,71.42,9400,11220
"2015-06-26",145.18,70.6,9575,11680
"2015-06-29",143.59,70.2,9540,11268
"2015-06-30",145.85,72.35,9500,11399
"2015-07-01",145.5,71,9215,11465
"2015-07-02",145.8,70.54,9250,11420
"2015-07-03",144.33,70.67,9263,11331
"2015-07-06",143,68.45,9277,11401
"2015-07-07",142.5,68.77,9340,11099
"2015-07-08",141.5,67.73,9100,10902
"2015-07-09",143.77,69.35,9101,11055
"2015-07-10",143.9,71.06,9147,11399
"2015-07-13",145.27,72.94,9366,11649
"2015-07-14",146.5,73.9,9450,11669
"2015-07-15",142.7,74,9488,11660
"2015-07-16",144.2,74.21,9600,11769
"2015-07-17",143.6,75.52,9536,11750
"2015-07-20",141.78,74.1,9393,11510
"2015-07-21",141.41,75.55,9428,11735
"2015-07-22",140.8,74.6,9320,12177
"2015-07-23",138.37,72.7,9119,11885
"2015-07-24",136.41,70.45,9025,11650
"2015-07-27",134.51,68.48,9022,11750
"2015-07-28",135.05,69.55,9231,11671
"2015-07-29",138.7,71.2,9359,11800
"2015-07-30",139.8,72.2,9365,12040
"2015-07-31",142.5,72.3,9427,12200
"2015-08-03",141.45,71.1,9514,12268
"2015-08-04",141.89,72.3,9889,12441
"2015-08-05",143.78,73.49,10090,12818
"2015-08-06",140.88,72.25,10125,12309
"2015-08-07",141.34,74.2,10112,12396
"2015-08-10",141.5,75.16,10222,12412
"2015-08-11",141.97,73.2,10166,12320
"2015-08-12",142.99,73.4,9850,12149
"2015-08-13",143.7,73.7,9870,12177
"2015-08-14",144.8,74.43,10061,12147
"2015-08-17",144.25,73,10000,12162
"2015-08-18",142.65,72.45,9810,12090
"2015-08-19",140.8,71.5,9725,12050
"2015-08-20",142.64,72.05,10047,12105
"2015-08-21",140.29,69.86,10060,11860
"2015-08-24",135.35,68.53,10215,11603
"2015-08-25",140.4,70.79,10071,11829
"2015-08-26",140.51,71,10290,11631
"2015-08-27",144.6,73.8,10371,11910
"2015-08-28",146.6,74.82,10430,12171
"2015-08-31",148.19,74.5,10569,12275
"2015-09-01",144.5,73.14,10329,11924
"2015-09-02",142.57,72.9,10350,11845
"2015-09-03",145.3,74.15,10600,11935
"2015-09-04",142.8,73.96,10570,11988
"2015-09-07",141.67,73.81,10716,12074
"2015-09-08",143.21,74.9,10746,11996
"2015-09-09",144.22,74.65,11099,11763
"2015-09-10",142.99,74.3,10931,11420
"2015-09-11",142.4,74.1,10870,11405
"2015-09-14",143.58,74.88,10924,11313
"2015-09-15",141.95,74.85,11009,11325
"2015-09-16",142.91,77.71,11119,11583
"2015-09-17",142.8,76.49,11206,11650
"2015-09-18",139.5,75.5,11100,11543
"2015-09-21",139.45,75.94,11080,11462
"2015-09-22",136.4,74.39,10693,11360
"2015-09-23",134.3,73.74,10200,11377
"2015-09-24",132.2,73.33,9662,11387
"2015-09-25",133.85,74.97,9565,11815
"2015-09-28",130.9,74.57,9382,11566
"2015-09-29",133.2,75.5,9325,11705
"2015-09-30",134.55,75.3,9500,11600
"2015-10-01",132.9,74.51,9394,11769
"2015-10-02",131.5,73.8,9470,11581
"2015-10-05",136.8,76.2,9450,11725
"2015-10-06",137.87,77.31,9346,11797
"2015-10-07",140,79.65,9210,11763
"2015-10-08",139.8,83.11,9149,11696
"2015-10-09",143.81,85.77,9560,11730
"2015-10-12",141.7,85.45,9620,11667
"2015-10-13",141.8,85,9715,11780
"2015-10-14",142.01,86.81,9700,11810
"2015-10-15",142.61,87.7,9783,12059
"2015-10-16",141,88.52,9601,11707
"2015-10-19",140.27,87.07,9761,11665
"2015-10-20",140.4,88.14,9658,11810
"2015-10-21",139.49,86.95,9390,11800
"2015-10-22",139.25,86.53,9545,11772
"2015-10-23",138.94,90.45,9735,11500
"2015-10-26",138.5,92.3,9700,10809
"2015-10-27",138.5,89,9710,11359
"2015-10-28",138.1,90.05,9670,11491
"2015-10-29",136.11,88.6,9503,11216
"2015-10-30",135.75,90.53,9487,11136
"2015-11-02",137.8,93.65,9585,11111
"2015-11-03",141.75,95.4,9546,11425
"2015-11-05",140.97,95.5,9580,11468
"2015-11-06",137.75,94.09,9513,11496
